SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
smooth face scrub for women sensitive skin,4,1,28.55,0.0,0,,0.0,MONITOR
detaning and hydrating and pore cleaning and hyperpigmentation face scrub,1,1,28.47,0.0,0,,0.0,MONITOR
hand pigmentation cream for women for hands organic,5,2,28.43,0.0,0,,0.0,MONITOR
b0ct8z3llc,1003,2,28.01,0.0,0,,0.0,MONITOR
advanced anti pigmentation cream,8,2,27.78,0.0,0,,0.0,MONITOR
sunny face scrub,7,2,27.6,0.0,0,,0.0,MONITOR
mamaearth,12,1,27.46,0.0,0,,0.0,MONITOR
best scrub,14,2,27.42,0.0,0,,0.0,MONITOR
i luxe under eye gel dark circle,2,1,27.28,0.0,0,,0.0,MONITOR
b079x4snhd,2,1,27.09,0.0,0,,0.0,MONITOR
ayurvedic body scrub,1,1,26.98,0.0,0,,0.0,MONITOR
b0fdl2scrm,21,3,26.77,0.0,0,,0.0,MONITOR
green tea face masks,2,1,26.64,0.0,0,,0.0,MONITOR
face exfoliator,22,1,26.61,419.5,1,6.34,100.0,MONITOR
dtan face scrub for men,3,1,26.37,0.0,0,,0.0,MONITOR
auro gold face scrub,2,1,26.35,0.0,0,,0.0,MONITOR
oriflame milk and honey scrub,9,1,26.19,0.0,0,,0.0,MONITOR
herbal scrub for face,6,1,26.16,419.49,1,6.24,100.0,MONITOR
under eye,3,1,25.93,0.0,0,,0.0,MONITOR
chemist face scrub,32,2,25.84,0.0,0,,0.0,MONITOR
b0743bbc8k,4,2,25.82,0.0,0,,0.0,MONITOR
lakme aloe vera day cream 9 10 5,1,1,25.42,0.0,0,,0.0,MONITOR
malai kesar scrub,5,1,25.31,0.0,0,,0.0,MONITOR
naturals haldi chandan face scrub,3,1,25.19,0.0,0,,0.0,MONITOR
b0b79yvtgh,35,2,25.0,0.0,0,,0.0,MONITOR
dr rashel face scrub,22,2,24.99,419.49,1,5.96,50.0,MONITOR
jungleberry day cream,6,1,24.59,0.0,0,,0.0,MONITOR
eye gel,43,1,24.36,0.0,0,,0.0,MONITOR
b0c8149wbx,67,2,24.27,419.49,1,5.79,50.0,MONITOR
honey face scrub,5,1,24.23,0.0,0,,0.0,MONITOR
himalaya turmeric face scrub,1,1,24.02,0.0,0,,0.0,MONITOR
khadi scrub,9,1,24.02,419.49,1,5.73,100.0,MONITOR
bonita under eye gel,1,1,23.95,0.0,0,,0.0,MONITOR
b0d4517144,32,2,23.69,0.0,0,,0.0,MONITOR
home made face scrub,10,1,23.62,0.0,0,,0.0,MONITOR
b0fsy8flcx,405,2,23.53,0.0,0,,0.0,MONITOR
